,date,rating,userName,content,platform
0,2022-03-01,1,원배원배,차는 크고 괜찮으나 고객센터 야간에 전화를 받지 않음. 플랫폼만으러 사업하면서 응급상황시 고객센터 대응이 아예없음. 고객센터 직원을 늘리던지 대책을 세우세요. 퍙소에 이용하기는 좋지만 눈에보이지 아노는 서비스가 엉망임,PlayStore
1,2022-03-04,5,고인석,넓고 깨끗한 콜택시 탑승은 만족하지만 기사분들 고충이 심한듯 고객의 콜을 부르면 목적지보다 멀리 있더라도 배차가 된다네요~~~,PlayStore
2,2022-02-26,4,DY Kim,"항상 잘 이용하고 있습니다. 친절한 지니님들과 콜비없는 빠른 배차에 만족합니다만, 네비가 자주 문제를 일으켜 번거롭네요.",PlayStore
3,2022-02-15,1,민경찬,아니 왜 안드로이드 실행하면 항상 먹통이죠? 업데이트하고 지웠다가 다시깔아도 실행이 안되네요 최악입니다,PlayStore
4,2022-02-25,3,성이름,타다 보다 안되는이유 딱하나 렌트카 보다 값싼 카니발 끌면서 할인쿠폰 첫탑승 제외 안준다. ㅋ 이런프로모션 및 이벤트가 없으니 고객이 떨어져 나갈수 밖에..,PlayStore
5,2022-01-18,2,AHR L,"몇번 잘 썼는데 오늘은 같은 출발-도착지로 해도 시간도 요금도 2배가 나와 문의했습니다만, 답변이.. 추가로 문의한들 제대로 된 답변을 얻을수 있는거 같지않아 아쉽습니다. 애초에 경로도 이전부터 문제가 있었던걸로 보였지만 개선이 되지 않은걸로 보이구요;; 전반적으로 배차 시 예상경로가 빙빙돌고 배차가 잘 안된다는 단점이 있어도 쿠폰이나 지니분들의 친절함, 빠른 경로 재탐색 등을 보고 잘 이용했지만 오늘보니 역시 쓰던걸 쓰는게 제일 나은거 같네요...",PlayStore
6,2022-01-12,4,김성호,"만족하게 잘 사용하고 있습니다 다만 출발시 네비속도를 조금 올려주시고(3~4초 버그현상) 문의사항이나 별도 난에 운행 정보제안사항을 마케팅부서와 커뮤니티 난을 넣어주세요 예를들어 최근 콜 많이들어오는지역 10지역 선정코너, 사용자는 있으나 진니가 없어 사용못하는 지역 5지역등 영업에 도움되는 정보는 꼭 필요하며 기타 경쟁사의 위와 유사한정보가 있으면 더 좋겠네요",PlayStore
7,2022-01-03,4,권혁경,"티맵 별로여서 새로운 거 찾다가 그냥 한 번 써봤는데 죠음. 어플 이용 면에서 베리굿인지는 모르겠지만 탈 때마다 기사님들이 친절하셔서 ☆☆☆☆욥. (특히, 최근 광진구에서 이용했을 때 친절하신 기사님이 계셨는데 어플사용 꿀팁도 알려주시곸ㅋㅋ 거의뭐 아이엠 홍보대사시구ㅋㅋㅋ 김기*기사님👍)",PlayStore
8,2021-12-17,1,이경희,"출발지 선택이 힘드네요.. 해당 건물 앞에 차 대기하는 곳도 존재하는데 핀 선택이 안되고 엉뚱한 곳으로 자꾸 자동선택이 되어 매번 추운날 아기 데리고 멀리 걸어가서 추위에 벌벌 떠네요... 참고로 집에서 출발해서 도착지로 잘 도착했던 곳입니다. 다시 집으로 이동하려하는데 출발지 핀이 자꾸 이동해요.... 카*오, 타* 에서는 잘된답니다...",PlayStore
9,2022-01-20,3,이ri,자동결제까지 해두고 자주사용하고있는데 호출받은 차량이 왜 10 분째 그자리에서 출발을 안하고 안오는거죠? 어처구니가 없어서 화장실이라도!? 가실꺼면 다른차량으로 배정해주든 늦는다고 말을 하시든가요 도착예정시간 9 분이었는데 10 분이 지나도 그자리 그대로있는 차량 어이가 없네요,PlayStore
